Circuit: * Z:\home\peter\repos\pwm-charge-controller\ltspice\pwm5.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.25045e-005 to 3.25046e-005
Heightened Def Con from 3.25046e-005 to 3.25048e-005
Heightened Def Con from 3.25051e-005 to 3.25071e-005
Heightened Def Con from 3.25096e-005 to 3.25107e-005
Heightened Def Con from 3.25107e-005 to 3.25107e-005
Heightened Def Con from 3.25107e-005 to 3.25117e-005
Heightened Def Con from 3.25117e-005 to 3.25117e-005
Heightened Def Con from 3.25117e-005 to 3.25117e-005
Heightened Def Con from 3.25117e-005 to 3.25128e-005
Heightened Def Con from 3.25129e-005 to 3.25129e-005
Heightened Def Con from 3.25129e-005 to 3.25131e-005
Heightened Def Con from 3.25131e-005 to 3.25141e-005
Heightened Def Con from 3.25141e-005 to 3.25141e-005
Heightened Def Con from 3.25141e-005 to 3.25151e-005
Heightened Def Con from 3.25151e-005 to 3.25154e-005
Heightened Def Con from 3.25154e-005 to 3.25164e-005
Heightened Def Con from 3.25164e-005 to 3.25174e-005
Heightened Def Con from 3.25174e-005 to 3.25174e-005
Heightened Def Con from 3.25174e-005 to 3.25184e-005
Heightened Def Con from 3.25184e-005 to 3.25184e-005
Heightened Def Con from 3.25184e-005 to 3.25184e-005
Heightened Def Con from 3.25184e-005 to 3.25184e-005
Heightened Def Con from 3.25184e-005 to 3.25184e-005
Heightened Def Con from 3.25184e-005 to 3.25186e-005
Heightened Def Con from 3.25186e-005 to 3.25187e-005
Heightened Def Con from 3.25187e-005 to 3.25207e-005
Heightened Def Con from 3.25208e-005 ++to 3.25228e-005
Heightened Def Con from 3.25353e-005 to 3.25354e-005
Heightened Def Con from 3.25354e-005 to 3.25365e-005
Heightened Def Con from 3.25365e-005 to 3.25375e-005
Heightened Def Con from 3.25375e-005 to 3.25395e-005
Heightened Def Con from 3.25415e-005 to 3.25418e-005
Heightened Def Con from 3.25418e-005 to 3.25418e-005
Heightened Def Con from 3.25418e-005 to 3.25419e-005
Heightened Def Con from 3.25419e-005 to 3.25419e-005
Heightened Def Con from 3.25419e-005 to 3.25421e-005
Heightened Def Con from 3.25421e-005 to 3.25441e-005
Heightened Def Con from 3.25461e-005 to 3.25461e-005
Heightened Def Con from 3.25461e-005 to 3.25461e-005
Heightened Def Con from 3.25461e-005 to 3.25461e-005
Heightened Def Con from 3.25461e-005 to 3.25473e-005
Heightened Def Con from 3.25473e-005 to 3.25483e-005
Heightened Def Con from 3.25483e-005 to 3.25483e-005
Heightened Def Con from 3.25483e-005 to 3.25493e-005
Heightened Def Con from 3.25493e-005 to 3.25503e-005
Heightened Def Con from 3.25503e-005 to 3.25513e-005
Heightened Def Con from 3.25513e-005 to 3.25533e-005
Heightened Def Con from 3.25533e-005 to 3.25533e-005
Heightened Def Con from 3.25533e-005 to 3.25543e-005
Heightened Def Con from 3.25543e-005 to 3.25543e-005
Heightened Def Con from 3.25543e-005 to 3.25543e-005
Heightened Def Con from 3.25543e-005 +to 3.25545e-005
Heightened Def Con from 3.25547e-005 to 3.25547e-005
Heightened Def Con from 3.25547e-005 to 3.25547e-005
Heightened Def Con from 3.25547e-005 to 3.25567e-005
Heightened Def Con from 3.25587e-005 to 3.25587e-005
Heightened Def Con from 3.25587e-005 to 3.25587e-005
Heightened Def Con from 3.25587e-005 to 3.25598e-005
Heightened Def Con from 3.25598e-005 to 3.25609e-005
Heightened Def Con from 3.25609e-005 to 3.2562e-005
Heightened Def Con from 3.2562e-005 to 3.2564e-005
Heightened Def Con from 3.25643e-005 to 3.25643e-005
Heightened Def Con from 3.25643e-005 to 3.25653e-005
Heightened Def Con from 3.25653e-005 to 3.25663e-005
Heightened Def Con from 3.25663e-005 to 3.25663e-005
Heightened Def Con from 3.25663e-005 to 3.25663e-005
Heightened Def Con from 3.25663e-005 +to 3.25663e-005
Heightened Def Con from 3.25663e-005 to 3.25673e-005
Heightened Def Con from 3.25673e-005 to 3.25693e-005
Heightened Def Con from 3.25693e-005 to 3.25703e-005
Heightened Def Con from 3.25703e-005 to 3.25703e-005
Heightened Def Con from 3.25703e-005 to 3.25703e-005
Heightened Def Con from 3.25703e-005 to 3.25703e-005
Heightened Def Con from 3.25703e-005 to 3.25703e-005
Heightened Def Con from 3.25703e-005 to 3.25703e-005
Heightened Def Con from 3.25703e-005 to 3.25723e-005
Heightened Def Con from 3.25761e-005 +to 3.25764e-005
Heightened Def Con from 3.25766e-005 to 3.25767e-005
Heightened Def Con from 3.25767e-005 to 3.25767e-005
Heightened Def Con from 3.25767e-005 to 3.25767e-005
Heightened Def Con from 3.25767e-005 to 3.25767e-005
Heightened Def Con from 3.25767e-005 to 3.25767e-005
Heightened Def Con from 3.25767e-005 +to 3.25767e-005
Heightened Def Con from 3.25767e-005 to 3.25787e-005
Heightened Def Con from 3.25787e-005 +to 3.25787e-005
Heightened Def Con from 3.25787e-005 ++to 3.25797e-005
Heightened Def Con from 3.258e-005 to 3.258e-005
Heightened Def Con from 3.258e-005 to 3.258e-005
Heightened Def Con from 3.258e-005 to 3.258e-005
Heightened Def Con from 3.258e-005 to 3.2581e-005
Heightened Def Con from 3.2581e-005 to 3.2583e-005
Heightened Def Con from 3.259e-005 to 3.2591e-005
Heightened Def Con from 3.2591e-005 to 3.2591e-005
Heightened Def Con from 3.2591e-005 to 3.2591e-005
Heightened Def Con from 3.2591e-005 to 3.2591e-005
Heightened Def Con from 3.2591e-005 to 3.2593e-005
Heightened Def Con from 3.25968e-005 to 3.25968e-005
Heightened Def Con from 3.25968e-005 to 3.25988e-005
Heightened Def Con from 3.25992e-005 to 3.26002e-005
Heightened Def Con from 3.26002e-005 +to 3.26012e-005
Heightened Def Con from 3.26059e-005 to 3.2607e-005
Heightened Def Con from 3.26077e-005 to 3.26077e-005
Heightened Def Con from 3.26077e-005 to 3.26097e-005
Heightened Def Con from 3.26102e-005 to 3.26113e-005
Heightened Def Con from 3.26115e-005 to 3.26115e-005
Heightened Def Con from 3.26115e-005 to 3.26115e-005
Heightened Def Con from 3.26115e-005 to 3.26115e-005
Heightened Def Con from 3.26115e-005 to 3.26115e-005
Heightened Def Con from 3.26115e-005 to 3.26115e-005
Heightened Def Con from 3.26115e-005 to 3.26115e-005
Heightened Def Con from 3.26115e-005 to 3.26116e-005
Heightened Def Con from 3.26116e-005 to 3.26136e-005
Heightened Def Con from 3.26136e-005 to 3.26156e-005
Heightened Def Con from 3.26176e-005 to 3.26176e-005
Heightened Def Con from 3.26176e-005 to 3.26177e-005
Heightened Def Con from 3.26177e-005 to 3.26188e-005
Heightened Def Con from 3.26188e-005 to 3.26208e-005
Heightened Def Con from 3.26208e-005 to 3.2622e-005
Heightened Def Con from 3.26221e-005 to 3.26221e-005
